kniha;castka;nazev_subjektu;ICO;evidencni_cislo;datum_evidence;popis
08 - Odbor bezpečnosti a krizového řízení;2270975;KH SERVIS a.s.;45279748;140800616;2014-10-08;zajištění služeb - zabezpečení správy nadstavbového SW ECCs 3.Q.2014
08 - Odbor bezpečnosti a krizového řízení;2180258;KH SERVIS a.s.;45279748;130800004;2013-01-02;nákup služeb - zajištění zabezpečení správy nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP 1.Q.13
08 - Odbor bezpečnosti a krizového řízení;2148606;KH SERVIS a.s.;45279748;120800362;2012-06-29;nákup služeb - zajištění servisu na zákl. sml. 4436/2008 - 2.Q.2012zabezpečení správy nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP
08 - Odbor bezpečnosti a krizového řízení;2126982;KH SERVIS a.s.;45279748;120800807;2012-12-13;zajištění servisu - zabezpečení správy nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP 4.Q.2012
08 - Odbor bezpečnosti a krizového řízení;2126982;KH SERVIS a.s.;45279748;120800601;2012-10-02;nákup služeb - zajištění servisu - smlouva 4436/2008 - III.Q 2012-zabezpečení správy nadstavbového SW ECCs operativních datových úložišť a digit. sitě
08 - Odbor krizového řízení;2125000;KH SERVIS spol.s r.o.;45279748;30800499;2003-07-09;
08 - Odbor krizového řízení;2125000;KH SERVIS spol.s r.o.;45279748;30801344;2003-12-17;zajištění nepřetržité provozuschopnosti technol. systémů a zařízení MKS
08 - Odbor krizového řízení;2125000;KH SERVIS spol.s r.o.;45279748;30800697;2003-10-07;
08 - Odbor bezpečnosti a krizového řízení;2108544;KH SERVIS a.s.;45279748;120800176;2012-04-02;Smlouva o dílo - zabezpečení správy nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP
08 - Odbor krizového řízení;2009760;KH SERVIS a.s.;45279748;110800493;2011-08-11;akce č. 40459 - Městský kamerový systém - rozšíření a integrace
08 - Odbor krizového řízení;1888032;KH SERVIS a.s.;45279748;110800864;2011-12-19;Smlouva o dílo - zabezpečení správy nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP 4.Q.2011
08 - Odbor krizového řízení;1888032;KH SERVIS a.s.;45279748;110800601;2011-10-03;nákup služeb -  zabezpečení správy nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP 3.Q.2011
08 - Odbor krizového řízení;1888032;KH SERVIS a.s.;45279748;110800345;2011-07-01;Smlouva o dílo - zabezpečení správy nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP
08 - Odbor krizového řízení;1880498;KH SERVIS spol.s r.o.;45279748;70800819;2007-12-13;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;1860117;KH SERVIS a.s.;45279748;110800176;2011-03-31;Nákup služeb - zabezpečení správy nadstavbového software ECCs operativních datových úložišť a digitální sítě MKS HMP - 1.Q.2011
08 - Odbor krizového řízení;1800000;KH SERVIS spol.s r.o.;45279748;20801247;2002-12-12;
08 - Odbor krizového řízení;1800000;KH SERVIS spol.s r.o.;45279748;20800699;2002-10-09;
08 - Odbor krizového řízení;1800000;KH SERVIS spol.s r.o.;45279748;30800092;2003-04-14;
08 - Odbor krizového řízení;1755250;KH SERVIS spol.s r.o.;45279748;60800726;2006-12-14;
08 - Odbor krizového řízení;1663620;KH SERVIS spol.s r.o.;45279748;60800600;2006-11-22;
08 - Odbor krizového řízení;1637000;KH SERVIS spol.s r.o.;45279748;20801242;2002-12-12;
08 - Odbor krizového řízení;1609233;KH SERVIS a.s.;45279748;100800812;2010-12-09;nákup služeb - zabezpečení správy SW ECCs  - 4.Q.2010
08 - Odbor krizového řízení;1609233;KH SERVIS a.s.;45279748;100800602;2010-10-04;Nákup služeb - zajištění zabezpečení zprávy SW ECCS ODU a digi sítě MKS - 3.Q.2010
08 - Odbor krizového řízení;1609233;KH SERVIS a.s.;45279748;100800367;2010-07-01;nákup služeb - zabezpečení správy SW ECCs ODU a digi sítě MKS - 2.Q.2010
08 - Odbor krizového řízení;1593300;KH SERVIS a.s.;45279748;100800167;2010-04-06;zabezpečení správy SW ECCs ODU a digi sítě MKS v 1.Q 2010
08 - Odbor krizového řízení;1477980;KH SERVIS a.s.;45279748;90800194;2009-04-01;nákup služeb - zabezpečení správy SW ECCs ODU a digit. sítě MKS
08 - Odbor krizového řízení;1477980;KH SERVIS a.s.;45279748;90800351;2009-07-01;nákup služeb - zabezpečení správy SW ECCs ODU a digit. sítě MKS
08 - Odbor krizového řízení;1477980;KH SERVIS a.s.;45279748;90800557;2009-10-01;nákup služeb - zabezpečení správy SW ECCs ODU a digi sítě MKS za 3. Q 2009
08 - Odbor krizového řízení;1477980;KH SERVIS a.s.;45279748;90800760;2009-12-10;nákup služeb - zabezpečení správy SW ECCs ODU a digi sítě MKS 4.Q.2009
40 - Odbor informatiky;1380000;KH SERVIS a.s.;45279748;104001342;2010-10-13;2298/2010/DIL - dílo dodávek a montáží integrace MKS - k 24.9.2010 - ČB
08 - Odbor krizového řízení;1292340;KH SERVIS spol.s r.o.;45279748;60800719;2006-12-14;
08 - Odbor bezpečnosti a krizového řízení;1279575;KH SERVIS a.s.;45279748;130800572;2013-08-26;servis a údržba - integrace kamer - 37. etapa DS (5190/2013) k RS (5133/2012)
08 - Odbor krizového řízení;1265565;KH SERVIS spol.s r.o.;45279748;80800782;2008-12-15;nákup služeb - zabezpečení
08 - Odbor krizového řízení;1265565;KH SERVIS spol.s r.o.;45279748;80800528;2008-10-01;nákup služeb - zabezpečení správy SW a sítě MKS
08 - Odbor krizového řízení;1260744;KH SERVIS a.s.;45279748;100800869;2010-12-15;akce č. 40459 - rozšíření a integrace MKS
08 - Odbor krizového řízení;1220825;KH SERVIS a.s.;45279748;100800369;2010-07-01; akce č. 40459 - rozšíření a integfrace MKS
08 - Odbor krizového řízení;1179998;KH SERVIS spol.s r.o.;45279748;60800599;2006-11-22;
08 - Odbor krizového řízení;1176600;KH SERVIS a.s.;45279748;100800658;2010-10-18;akce č. 40459 - Rozšíření a integrace MKS - sml. 4654/2010
08 - Odbor krizového řízení;1125740;KH SERVIS spol.s r.o.;45279748;70800821;2007-12-13;akce č. 7000 - Rozšíření MKS
08 - Odbor krizového řízení;1124550;KH SERVIS spol.s r.o.;45279748;60800309;2006-06-13;
08 - Odbor krizového řízení;1087410;KH SERVIS spol.s r.o.;45279748;70800001;2006-12-14;nákup drobného hmotného majetku
08 - Odbor krizového řízení;1035132;KH SERVIS a.s.;45279748;100800657;2010-10-18;akce č. 40459 - Rozšíření a integrace MKS - sml. 4652/2010
08 - Odbor krizového řízení;999898;KH SERVIS spol.s r.o.;45279748;70800837;2007-12-17;nákup služeb
08 - Odbor krizového řízení;999005;KH SERVIS spol.s r.o.;45279748;60800725;2006-12-14;
08 - Odbor krizového řízení;998993;KH SERVIS spol.s r.o.;45279748;50801112;2005-12-15;
08 - Odbor krizového řízení;983773;KH SERVIS spol.s r.o.;45279748;40801345;2004-12-22;
08 - Odbor krizového řízení;849923;KH SERVIS spol.s r.o.;45279748;30801058;2003-11-28;opravy a udržování dodavatelsky
08 - Odbor krizového řízení;843710;KH SERVIS spol.s r.o.;45279748;80800386;2008-07-14;nákup služeb
